feature,importance,importance_level,mean_non_churn,mean_churn,mean_gap,median_non_churn,median_churn,median_gap,cohen_d,cohen_magnitude,rank_biserial,rank_magnitude,p_value
Lifetime_Value,0.1289821584090113,Strong,1446.8058745428975,1425.423235986159,-21.382638556738584,1266.79,1132.73,-134.05999999999995,-0.023569752857188354,Negligible,-0.07044756495797622,Negligible,3.905710140131667e-35
Customer_Service_Calls,0.1278603479335867,Strong,5.184894514767932,6.896470588235294,1.711576073467362,5.0,7.0,2.0,0.669436981076018,Medium,0.37804864925369497,Medium,0.0
Cart_Abandonment_Rate,0.0991094503313125,Strong,54.155428973277075,64.14714878892734,9.991719815650264,55.5,66.6,11.099999999999994,0.6420868872178407,Medium,0.3559668267803522,Medium,0.0
Discount_Usage_Rate,0.0714706105907219,Strong,42.57653277074543,39.20326643598616,-3.373266334759272,40.2,38.6,-1.6000000000000014,-0.16743619520699138,Negligible,-0.10259464568155385,Small,1.474219325135321e-72
Age,0.0685397746441477,Strong,38.44236286919831,35.932249134948094,-2.5101137342502184,37.0,36.0,-1.0,-0.22595747300414676,Small,-0.12619389426656735,Small,6.9603141707704755e-109
Days_Since_Last_Purchase,0.0608894190990601,Strong,26.541322081575245,35.966851211072665,9.42552912949742,21.0,24.0,3.0,0.3301599570899828,Small,0.16514820297937982,Small,5.8460094540957244e-185
Total_Purchases,0.0556177986682025,Moderate,13.832897327707455,11.354221453287197,-2.478675874420258,13.0,10.0,-3.0,-0.3584688311991928,Small,-0.239341990179045,Small,0.0
Email_Open_Rate,0.0472938480448065,Moderate,22.79026160337553,16.164401384083043,-6.625860219292488,21.1,14.9,-6.200000000000001,-0.48856993337651555,Small,-0.2872819509536254,Small,0.0
Average_Order_Value,0.0472559922506685,Moderate,118.38390733327452,134.7625324817638,16.378625148489277,108.935,124.39500000000001,15.460000000000008,0.09337103271801532,Negligible,0.19327939108132708,Small,2.2416351328988464e-252
Session_Duration_Avg,0.0407768515412039,Moderate,29.07131364275668,23.988013840830448,-5.083299801926234,27.4,23.6,-3.799999999999997,-0.4963527161051979,Small,-0.2799640469342366,Small,0.0
Pages_Per_Session,0.040606132091838,Moderate,9.242450070323487,7.426159169550173,-1.8162909007733141,8.7,7.2,-1.4999999999999991,-0.5087179899258599,Medium,-0.2901351807240643,Small,0.0
Returns_Rate,0.0334374906870383,Weak,6.374477089896132,7.036705846813071,0.6622287569169387,5.4,5.4,0.0,0.11292234371744507,Negligible,0.08611988183707342,Negligible,1.0831470374985097e-51
Mobile_App_Usage,0.0332093795140624,Weak,20.499060478199716,16.33084429065744,-4.168216187542278,18.7,16.1,-2.599999999999998,-0.4770770464828967,Small,-0.27263510723723594,Small,0.0
Credit_Balance,0.0248602813481888,Weak,2067.5704078762305,1690.1904498269896,-377.37995804924094,1896.0,1762.5,-133.5,-0.33010222666799505,Small,-0.18915814073457626,Small,3.5332710475891333e-242
Social_Media_Engagement_Score,0.0248112053723995,Weak,31.366447257383964,23.706525951557094,-7.65992130582687,27.6,23.8,-3.8000000000000007,-0.40328007355458895,Small,-0.2361676025287256,Small,0.0
Login_Frequency,0.02447017313956,Weak,12.64239099859353,9.12083044982699,-3.5215605487665407,12.0,8.0,-4.0,-0.46058366153795616,Small,-0.2716140354975448,Small,0.0
Wishlist_Items,0.0220987221721802,None,4.644416315049226,3.3644982698961936,-1.2799180451530328,4.0,3.0,-1.0,-0.4259143420079273,Small,-0.2689706471220903,Small,0.0
Membership_Years,0.0214768249519926,None,2.9848277371389784,2.9819963273677255,-0.0028314097712529573,2.5,2.5,0.0,-0.0013750548369593314,Negligible,0.0014666686133375517,Negligible,0.7967698189332152
Product_Reviews_Written,0.0158629530255895,None,3.0445569620253163,2.1761245674740484,-0.868432394551268,3.0,2.0,-1.0,-0.3908511892818224,Small,-0.25239180646197423,Small,0.0
Payment_Method_Diversity,0.0092427206090046,None,2.3328832630098453,2.3442906574394464,0.011407394429601148,2.0,2.0,0.0,0.010517130462819707,Negligible,0.004119484716199606,Negligible,0.4498595631987333
Email_Open_Rate_Missing,0.0021278655754236,None,0.04219409282700422,0.07114186851211073,0.028947775685106508,0.0,0.0,0.0,0.13235779103838902,Negligible,0.028947775685106425,Negligible,6.74317181224039e-41
